User Input,Label
"Good morning how can I assist you?",GREETING
"Welcome to our hotel how may I help you today?",GREETING
"Welcome to our hotel! Is there anything I can assist you with today?",GREETING
"Good [morning/afternoon/evening] and welcome to our hotel! How may I be of service to you?",GREETING
"Greetings and welcome! How can I help make your stay more comfortable?",GREETING
"Hello and a warm welcome to our hotel! What can I do to assist you during your visit?",GREETING
"Welcome to [hotel name]! How may I help you make the most of your time here?",GREETING
"Hi there, and welcome! Is there anything specific you need assistance with today?",GREETING
"A pleasant welcome to our hotel! How can I make your stay with us more enjoyable?",GREETING
"Greetings and a hearty welcome! Please let me know how I can assist you during your stay.",GREETING
"Hello and welcome to our hotel! What can I do to ensure you have a pleasant experience?",GREETING
"Welcome, traveler! How can I make your visit to our hotel more memorable?",GREETING
"Have a pleasant day!",FAREWELL
"Thank you for choosing our hotel. Have a wonderful day!",FAREWELL
"We hope you enjoyed your stay. Safe travels!",FAREWELL
"It was a pleasure serving you. Until next time!",FAREWELL
"Wishing you a fantastic day ahead. Goodbye for now!",FAREWELL
"If you need any assistance in the future, don't hesitate to reach out. Goodbye!",FAREWELL
"Take care and have a great day!",FAREWELL
"We appreciate your visit. Farewell and best wishes!",FAREWELL
"Goodbye and thank you for staying with us!",FAREWELL
"We hope to welcome you back soon. Goodbye!",FAREWELL
"May the rest of your day be filled with joy. Goodbye!",
"I'm sorry, but we're fully booked for tonight.",CHECK_NO_AVAILABILITY
"Unfortunately, we don't have any availability for that night.",CHECK_NO_AVAILABILITY
"I'm afraid we're completely booked up for that particular evening.",CHECK_NO_AVAILABILITY
"I'm sorry, but all our rooms are reserved for tonight.",CHECK_NO_AVAILABILITY
"Regrettably, we're unable to accommodate you on tonight as we're at full capacity.",CHECK_NO_AVAILABILITY
"Unfortunately, there are no rooms available for tonight.",CHECK_NO_AVAILABILITY
"I'm sorry, but we're unable to fulfill your request for that particular date.",CHECK_NO_AVAILABILITY
"I'm afraid we're fully occupied on the date you're looking for.",CHECK_NO_AVAILABILITY
"I regret to inform you that we're fully reserved for the date in question.",CHECK_NO_AVAILABILITY
"I apologize, but there are no vacancies for the date you've chosen.",CHECK_NO_AVAILABILITY
"Yes, we have availability for tonight.",CHECK_AVAILABILITY
"Certainly, your reservation is confirmed for the selected date.",CHECK_AVAILABILITY
"Absolutely, we can accommodate you tonight.",CHECK_AVAILABILITY
"Yes, your booking is secured for the requested date.",CHECK_AVAILABILITY
"Confirmed, your reservation is set for the chosen date.",CHECK_AVAILABILITY
"Affirmative, we have space available tonight.",CHECK_AVAILABILITY
"Confirmed, we'll be expecting you tonight.",CHECK_AVAILABILITY
"Yes, your reservation is confirmed and scheduled for tonight.",CHECK_AVAILABILITY
"Certainly, we can reserve a room for you on tonight.",CHECK_AVAILABILITY
"Yes, we do have rooms available for your requested date.",CHECK_AVAILABILITY
"Could you please provide your full name and NIF for the reservation?",TAKE_DETAILS
"We'll need your complete name and NIF to proceed with the booking. May I have them, please?",TAKE_DETAILS
"To finalize the reservation, could you share your full name and NIF?",TAKE_DETAILS
"Before confirming your reservation, we require your full name and NIF. Could you provide them?",TAKE_DETAILS
"In order to secure your booking, we'll need your name and NIF. Could you kindly share them with us?",TAKE_DETAILS
"To complete the reservation process, we kindly ask for your full name and NIF. Could you provide them, please?",TAKE_DETAILS
"Before we proceed with the reservation, could you confirm your full name and NIF for our records?",TAKE_DETAILS
"For our records, we'll need your full name and NIF to confirm the reservation. Could you provide them now?",TAKE_DETAILS
"Is there anything else I can assist you with?",ASK_QUESTION
"Do you have any other requests or questions?",ASK_QUESTION
"Do you have any other questions or requests?",ASK_QUESTION
"Would you like assistance with anything else?",ASK_QUESTION
"Do you need help with anything else?",ASK_QUESTION
"Are there any other concerns or inquiries you have?",ASK_QUESTION
"Is there any further assistance you need?",ASK_QUESTION
"Are there any other matters I can help you with?",ASK_QUESTION
"Would you like to inquire about anything else?",ASK_QUESTION
"Do you require assistance with any other arrangements?",ASK_QUESTION
"Your reservation has been successfully confirmed.",CONFIRM_RESERVATION
"I'm pleased to inform you that your booking has been confirmed.",CONFIRM_RESERVATION
"Great news! Your reservation is now confirmed.",CONFIRM_RESERVATION
"I'm happy to confirm that your booking has been secured.",CONFIRM_RESERVATION
"Your reservation is all set and confirmed.",CONFIRM_RESERVATION
"Consider your reservation confirmed and ready to go.",CONFIRM_RESERVATION
"You're all set! Your booking is confirmed and guaranteed.",CONFIRM_RESERVATION
"Your reservation is now officially confirmed.",CONFIRM_RESERVATION
"Confirmation of your booking has been processed.",CONFIRM_RESERVATION
"Rest assured, your reservation is confirmed and confirmed.",CONFIRM_RESERVATION
